<<<<<<< HEAD
,file_name,id,n_vertices,n_triangles,n_quads,bounding_box,barycenter,classification,volume,surface_area
0,data/benchmark/db/9/m976/m976.off,976,3816,1889.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.40343025 0.7458832  0.35535598],plant,0.0014449766282528967,1.0730063760431747
1,data/benchmark/db/9/m979/m979.off,979,3708,1070.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.24809103 0.73047066 0.23437184],plant,0.07289932652966379,0.5796390516659883
2,data/benchmark/db/9/m985/m985.off,985,152499,88945.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.50294703 0.48542553 0.29035047],plant,0.018869549119748648,1.276057341782723
3,data/benchmark/db/9/m943/m943.off,943,696,258.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.49951416 0.2728268  0.50913525],table,0.05085340751033941,1.7304854425046998
4,data/benchmark/db/9/m948/m948.off,948,13791,9038.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.51297766 0.44666904 0.4229729 ],bed,0.19014503762000334,4.383324174828821
5,data/benchmark/db/9/m900/m900.off,900,864,348.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.49999237 0.22946459 0.20293729],table,0.005302666161797557,0.9513201320909868
6,data/benchmark/db/9/m987/m987.off,987,2550,982.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.25750753 0.1881779  0.80466956],plant,0.004465567847914426,0.4753088651573838
7,data/benchmark/db/9/m982/m982.off,982,996,600.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.18872847 0.62885493 0.20124303],plant,0.0011281565935902683,0.3375975192078352
8,data/benchmark/db/9/m924/m924.off,924,645,408.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.505205   0.20501478 0.49581087],table,0.00011060684993289364,2.059341503631365
9,data/benchmark/db/9/m988/m988.off,988,9279,6000.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.12897602 0.8094965  0.13748264],plant,0.0010177154986625945,0.45160309744792876
10,data/benchmark/db/9/m951/m951.off,951,1089,572.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.41148466 0.31742477 0.29785457],bed,0.027544242240000013,2.861075613043754
11,data/benchmark/db/9/m949/m949.off,949,2118,1388.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.40554097 0.42421404 0.25339842],bed,0.1119051073238124,3.8110447106221432
12,data/benchmark/db/9/m916/m916.off,916,120,60.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.5        0.5431815  0.50000006],table,0.09018192432316009,3.0431430191866315
13,data/benchmark/db/9/m904/m904.off,904,384,152.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.2154809  0.6276723  0.21546441],table,0.009710828071063302,1.5973969436403546
14,data/benchmark/db/9/m923/m923.off,923,603,366.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.50083715 0.4684938  0.49991003],table,0.024539412588177788,2.0396245643059743
15,data/benchmark/db/9/m975/m975.off,975,723,460.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.34686685 0.66360086 0.1045237 ],plant,0.00037740241121119876,0.6560810629038326
16,data/benchmark/db/9/m932/m932.off,932,32667,20594.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.49730027 0.31807852 0.4989024 ],table,0.06721989170476533,2.7466974723067783
17,data/benchmark/db/9/m906/m906.off,906,534,312.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.44449517 0.22845048 0.6023486 ],table,0.00968229062378229,1.2221512669104955
18,data/benchmark/db/9/m910/m910.off,910,1056,1136.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.501313   0.51793617 0.4345398 ],table,7.350344361800871e-12,5.777926824518216
19,data/benchmark/db/9/m996/m996.off,996,1869,1129.0,0,[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 1.],[0.3750207  0.30956832 0.32927728],plant,0.0005557752774864384,1.010324325077568
