,file_name,id,n_vertices,n_triangles,n_quads,bounding_box,classification,volume,surface_area,bounding_box_ratio,compactness,bounding_box_volume,diameter,eccentricity,angle_three_vertices,barycenter_vertice,two_vertices,square_area_triangle,cube_volume_tetrahedron
0,data\benchmark\db\0\m0\m0.off,0,894,492.0,0,"[0.025    0.025    0.025    0.642549 0.025    0.025    0.642549 0.025
 0.975    0.025    0.025    0.975    0.025    0.547541 0.025    0.642549
 0.547541 0.025    0.642549 0.547541 0.975    0.025    0.547541 0.975   ]",,0.008859981018928641,0.6742814762494309,1.7806885242462158,3.256921500580457,0.34302639961242676,1.1204739809036255,7.345730731540175,[17. 25. 10.  6.  4.  8.  6.  1.  2.  1.],[26. 39. 18. 42. 38. 25. 19. 11. 19.  1.],[63. 18. 12. 28. 18.  4.  4.  1.  0.  1.],[32. 15.  4. 10.  6.  4.  2.  4.  2.  1.],[ 4.  6. 15.  7. 11.  7.  5.  1.  3.  1.]
1,data\benchmark\db\0\m1\m1.off,1,765,410.0,0,"[0.025    0.025    0.025    0.424855 0.025    0.025    0.424855 0.025
 0.975    0.025    0.025    0.975    0.025    0.384845 0.025    0.424855
 0.384845 0.025    0.424855 0.384845 0.975    0.025    0.384845 0.975   ]",,0.012971725541907828,0.5057757730060629,2.533487558364868,1.1359917880747574,0.15941573679447174,0.9761142730712891,13.544322623054782,[14. 14.  9. 11.  2.  5.  5.  5.  2.  1.],[23. 22. 74. 34. 23. 11.  7.  6.  3.  1.],[54. 32. 21. 10.  5.  4.  0.  0.  0.  1.],[25. 18. 17.  3.  1.  2.  1.  0.  0.  1.],[ 5. 15. 14.  5.  6.  2.  1.  1.  1.  1.]
2,data\benchmark\db\0\m10\m10.off,10,4086,2628.0,0,"[0.025    0.025    0.025    0.894109 0.025    0.025    0.894109 0.025
 0.222438 0.025    0.025    0.222438 0.025    0.975    0.025    0.894109
 0.975    0.025    0.894109 0.975    0.222438 0.025    0.975    0.222438]",,0.0003197735931057804,0.999689699725621,4.383244037628174,55.869444560526425,0.19391173124313354,1.1070339679718018,19.934350197632003,[90. 54. 62. 43. 33. 33. 22. 17.  9.  1.],[404. 123. 100. 112.  52. 190.  45.  19.  43.   1.],[637.  17.   7.  14.   5.   0.   0.   0.   0.   1.],[240.  77.  24.  13.   3.   4.   1.   1.   0.   1.],[64. 59. 62. 33. 24. 19.  5.  6.  0.  1.]
3,data\benchmark\db\0\m11\m11.off,11,1104,724.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.100962 0.025    0.025    0.100962 0.025    0.50912  0.025    0.975
 0.50912  0.025    0.975    0.50912  0.100962 0.025    0.50912  0.100962]",,0.0013501920849864732,0.5734841870482227,9.657098770141602,5.1329444388548735,0.050116728991270065,0.9620042443275452,218.96808996730212,[24. 17. 18.  8. 12.  9.  5.  5.  0.  1.],[36. 85. 40. 15. 40. 42. 14.  9. 12.  1.],[131.  10.   7.  11.  11.   4.   6.   2.   1.   1.],[48. 14. 14.  5.  7.  4.  2.  2.  2.  1.],[ 7. 11. 14. 10.  8. 10.  7.  4.  2.  1.]
4,data\benchmark\db\0\m12\m12.off,12,834,500.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.563472 0.025    0.025    0.563472 0.025    0.377544 0.025    0.975
 0.377544 0.025    0.975    0.377544 0.563472 0.025    0.377544 0.563472]",,0.005845096308352567,0.533244489941368,2.5824806690216064,1.9832766280801646,0.2074170708656311,0.9537543058395386,7.457343853079603,[13. 17. 10.  6. 13.  6.  3.  3.  3.  1.],[ 10. 101.  23.   6.  24.  11.  25.   8.  13.   1.],[62. 27. 18. 11.  3. 12.  0.  0.  5.  1.],[40. 14.  8.  7.  5.  0.  0.  0.  0.  1.],[ 5.  3. 10.  7. 10.  8.  7.  2.  3.  1.]
5,data\benchmark\db\0\m13\m13.off,13,1473,1125.0,0,"[0.025    0.025    0.025    0.553288 0.025    0.025    0.553288 0.025
 0.975    0.025    0.025    0.975    0.025    0.177515 0.025    0.553288
 0.177515 0.025    0.553288 0.177515 0.975    0.025    0.177515 0.975   ]",,0.019507650749979406,0.35439133531132816,5.492493629455566,0.31867412303281845,0.0957614928483963,0.9507124423980713,15.48553576033712,[28. 27. 17.  9. 15. 12.  6. 12.  4.  1.],[124. 108.  39.  54.  19.  16.  19.   4.   8.   1.],[191.  29.  15.   2.   1.   4.   1.   0.   1.   1.],[74. 24. 12. 10.  3.  4.  2.  0.  1.  1.],[20. 28. 14. 18.  5.  8.  2.  2.  1.  1.]
6,data\benchmark\db\0\m14\m14.off,14,2673,1681.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.773575 0.025    0.025    0.773575 0.025    0.715939 0.025    0.975
 0.715939 0.025    0.975    0.715939 0.773575 0.025    0.715939 0.773575]",,0.0016613530787370056,0.5064176056557357,1.3618478775024414,3.1863642176742,0.5399867296218872,1.0089486837387085,5.600595514849735,[51. 49. 31. 22. 25. 24. 16. 13.  6.  1.],[134. 253. 107. 115.  62.  15.   8.  11.   6.   1.],[385.  34.  13.   3.   1.   5.   1.   2.   0.   1.],[150.  44.  16.   8.  10.   6.   1.   0.   2.   1.],[12. 35. 49. 32. 25.  9.  6.  8.  2.  1.]
7,data\benchmark\db\0\m15\m15.off,15,1104,724.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.503842 0.025    0.025    0.503842 0.025    0.416924 0.025    0.975
 0.416924 0.025    0.975    0.416924 0.503842 0.025    0.416924 0.503842]",,0.00161550935158294,0.6463916944238306,2.3385558128356934,6.719432016003668,0.20481222867965698,1.0213162899017334,218.94051718267323,[31. 15. 14. 10.  5.  9.  4.  6.  4.  1.],[39. 84. 36. 13. 44. 40. 14. 11. 12.  1.],[131.  10.   7.  11.  11.   4.   6.   2.   1.   1.],[56. 11. 17.  7.  6.  0.  0.  0.  1.  1.],[ 8. 12. 16. 15. 12.  6.  3.  0.  1.  1.]
8,data\benchmark\db\0\m16\m16.off,16,7998,5162.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.718665 0.025    0.025    0.718665 0.025    0.270136 0.025    0.975
 0.270136 0.025    0.975    0.270136 0.718665 0.025    0.270136 0.718665]",arthropod,0.006138344492967943,0.35479161764906936,3.609293222427368,0.570025681838956,0.18928386270999908,1.076331615447998,5.08325627955202,[133. 148.  97.  93.  76.  68.  49.  29.  17.   1.],[581. 777. 204. 319. 127.  53.  38.  17.  15.   1.],[766. 234. 121. 123.  44.  26.  10.   6.   2.   1.],[433. 132.  58.  34.  28.  11.   8.   2.   4.   1.],[ 58. 148. 112.  97.  54.  31.  19.  11.   3.   1.]
9,data\benchmark\db\0\m17\m17.off,17,4644,3000.0,0,"[0.025    0.025    0.025    0.975    0.025    0.025    0.975    0.025
 0.654721 0.025    0.025    0.654721 0.025    0.293822 0.025    0.975
 0.293822 0.025    0.975    0.293822 0.654721 0.025    0.293822 0.654721]",arthropod,0.0010218297125026486,0.33948977378988715,3.318335771560669,1.2240265193428164,0.18756213784217834,0.9696438908576965,5.9950346978337725,[65. 68. 72. 66. 43. 34. 35. 18. 11.  1.],[ 33. 304. 100.   0. 736.   0.   0.   0.  64.   1.],[606.  26.   0.   0.   0.   0.   0.   0. 140.   2.],[292.  23.  28.  31.  24.  13.   0.   0.   1.   1.],[27. 58. 72. 46. 29. 37. 28.  6.  6.  1.]
