,file_name,id,n_vertices,n_triangles,n_quads,bounding_box,classification,volume,surface_area,bounding_box_ratio,compactness,bounding_box_volume,diameter,eccentricity,angle_three_vertices,barycenter_vertice,two_vertices,square_area_triangle,cube_volume_tetrahedron
0,data/benchmark/db/9/m917/m917.off,917,2509.0,4998.0,0,"[-0.5301059  -0.30286157 -0.19344969  0.58002824 -0.30286157 -0.19344969
  0.58002824 -0.30286157  0.2525371  -0.5301059  -0.30286157  0.2525371
 -0.5301059   0.544621   -0.19344969  0.58002824  0.544621   -0.19344969
  0.58002824  0.544621    0.2525371  -0.5301059   0.544621    0.2525371 ]",,0.014582072465644809,1.4679636538852912,2.489163637161255,14876.727364591288,0.4195930063724518,1.2148450649639895,8.130366483728915,[129. 107.  65. 119. 195.  26.  10.  11.   6.   1.],[  3.   1.   1. 323. 999. 108. 398. 164.   9.   1.],[970.  33.  12.   8.  67.   2. 111.  39.  11.   1.],[462.   1.   1.   0.   1.   0.   5. 140.  59.   1.],[ 56. 119.  94.  31.  38.  43.  52.  65.   3.   1.]
1,data/benchmark/db/9/m953/m953.off,953,2560.0,4999.0,0,"[-0.49252295 -0.36153206 -0.4286844   0.51394624 -0.36153206 -0.4286844
  0.51394624 -0.36153206  0.15840948 -0.49252295 -0.36153206  0.15840948
 -0.49252295  0.30460915 -0.4286844   0.51394624  0.30460915 -0.4286844
  0.51394624  0.30460915  0.15840948 -0.49252295  0.30460915  0.15840948]",,0.018369634238046495,3.6095442017635944,1.7143242359161377,139365.75609145913,0.3936174809932709,1.1810295983720596,7.639587181555493,[124. 150. 118. 100.  70.  43.  31.  28.  18.   1.],[ 40. 289. 530. 275. 288. 222. 222. 171.  10.   1.],[659. 168. 135. 119. 120.  45.  23.   7.   3.   1.],[322. 155. 102.  48.  28.  15.   7.   5.   0.   1.],[ 39. 116.  95. 123.  68.  43.  18.   8.   1.   1.]
2,data/benchmark/db/9/m952/m952.off,952,1944.0,3862.0,0,"[-0.5231747  -0.2556913  -0.70990545  0.5248805  -0.2556913  -0.70990545
  0.5248805  -0.2556913   0.11838776 -0.5231747  -0.2556913   0.11838776
 -0.5231747   0.4402226  -0.70990545  0.5248805   0.4402226  -0.70990545
  0.5248805   0.4402226   0.11838776 -0.5231747   0.4402226   0.11838776]",,0.22952045805827162,3.6488336531396866,1.5060126781463623,922.1878378613462,0.6041207313537598,1.3875558531559136,7.954113396881024,[119.  60. 105.  59.  68.  45.  23.  19.  20.   1.],[122. 573. 202. 345. 216.  70.   9.  11.   6.   1.],[826.  38.  64.   7.  19.   4.   5.   4.   4.   1.],[292.  26.  60.  51.  35.  26.  15.  10.   3.   1.],[101. 119.  97.  24.  18.  10.   8.   9.   2.   1.]
3,data/benchmark/db/9/m958/m958.off,958,2509.0,4998.0,0,"[-0.6032185  -0.24584278 -0.6098227   0.5235664  -0.24584278 -0.6098227
  0.5235664  -0.24584278  0.16473055 -0.6032185  -0.24584278  0.16473055
 -0.6032185   0.5897868  -0.6098227   0.5235664   0.5897868  -0.6098227
  0.5235664   0.5897868   0.16473055 -0.6032185   0.5897868   0.16473055]",,0.06060528384561531,5.0928490238380055,1.4547545909881592,35963.45654442782,0.7292998433113098,1.2818068716799504,3.157157618622884,[154.  81. 120.  66.  95.  55.  49.  32.  16.   1.],"[1.295e+03 2.230e+02 4.700e+01 4.600e+01 9.200e+01 1.640e+02 9.400e+01
 4.100e+01 4.000e+00 1.000e+00]",[853. 150.  27.  49.  69.  67.  29.   4.   5.   1.],[550.  65.  14.  17.  12.   6.   1.   2.   2.   1.],[150. 184.  84.  37.  23.   8.  10.   2.   3.   1.]
4,data/benchmark/db/9/m976/m976.off,976,2981.0,5000.0,0,"[-0.74584925 -0.34823954 -0.3827756   0.26343578 -0.34823954 -0.3827756
  0.26343578 -0.34823954  0.3685609  -0.74584925 -0.34823954  0.3685609
 -0.74584925  0.34539995 -0.3827756   0.26343578  0.34539995 -0.3827756
  0.26343578  0.34539995  0.3685609  -0.74584925  0.34539995  0.3685609 ]",plant,0.019016861576280582,1.0707841719505111,1.45505690574646,3394.9090053295977,0.5259956121444702,1.0308743511027958,1.5931408791825512,[122. 150. 170. 121.  98.  68.  30.  24.  11.   1.],[192. 578. 805. 571. 170.  55.   0.   0.  12.   1.],[716. 160. 253. 201. 101.  40.   9.   9.   0.   1.],[576. 146.  40.  17.  10.   3.   1.   1.   0.   1.],[ 34. 114. 165. 128.  99.  38.  12.   6.   0.   1.]
5,data/benchmark/db/9/m989/m989.off,989,3420.0,4998.0,0,"[-0.5108787  -0.33520675 -0.3266105   0.4940511  -0.33520675 -0.3266105
  0.4940511  -0.33520675  0.3195599  -0.5108787  -0.33520675  0.3195599
 -0.5108787   0.37618962 -0.3266105   0.4940511   0.37618962 -0.3266105
  0.4940511   0.37618962  0.3195599  -0.5108787   0.37618962  0.3195599 ]",,0.01,2.120707826830567,1.555208683013916,95376.74957556244,0.4619493782520294,1.0275818892877424,4.892038745852056,[171. 201. 150. 142.  89.  56.  52.  33.  17.   1.],[149. 229. 524. 491. 617. 267. 120. 120. 218.   1.],[851. 223. 265. 191.  56.  65.  42.  13.   3.   1.],[425. 226. 121.  64.  37.  15.  14.   5.   4.   1.],[ 27.  94. 155. 156. 122.  86.  31.   8.   4.   1.]
6,data/benchmark/db/9/m979/m979.off,979,3661.0,5000.0,0,"[-0.6538829  -0.23946318 -0.21799298  0.34939098 -0.23946318 -0.21799298
  0.34939098 -0.23946318  0.24277692 -0.6538829  -0.23946318  0.24277692
 -0.6538829   0.2258116  -0.21799298  0.34939098  0.2258116  -0.21799298
  0.34939098  0.2258116   0.24277692 -0.6538829   0.2258116   0.24277692]",plant,0.12101943318590284,0.5421165871717336,2.1773860454559326,10.87847098737418,0.21508648991584778,1.0046964043689919,6.382617111139023,[217. 197. 148.  96. 112.  71.  59.  49.  26.   1.],[121. 472. 618. 479. 862. 175. 173.  12.  15.   1.],[856. 389. 372.  93.  30.  26.  43.  19.   1.   1.],[443. 250. 117.  80.  49.  21.  11.   3.   2.   1.],[ 37. 102. 146. 162. 142.  78.  44.  14.   7.   1.]
7,data/benchmark/db/9/m985/m985.off,985,4343.0,5000.0,0,"[-0.62842745 -0.33836433 -0.14970344  0.36777276 -0.33836433 -0.14970344
  0.36777276 -0.33836433  0.06300882 -0.62842745 -0.33836433  0.06300882
 -0.62842745  0.33687985 -0.14970344  0.36777276  0.33687985 -0.14970344
  0.36777276  0.33687985  0.06300882 -0.62842745  0.33687985  0.06300882]",plant,0.01,0.510428820080924,4.683322906494141,1329.8588973459189,0.14308694005012512,0.9984105139553489,1.9178671419828146,[238. 239. 199. 133. 119.  87.  65.  47.  30.   1.],"[4.660e+02 1.619e+03 7.120e+02 4.260e+02 2.130e+02 1.500e+01 0.000e+00
 8.000e+00 1.400e+01 1.000e+00]","[1.187e+03 3.680e+02 2.940e+02 1.820e+02 9.400e+01 3.300e+01 1.000e+01
 2.000e+00 0.000e+00 1.000e+00]",[599. 285. 150.  71.  28.  13.   7.   4.   1.   1.],[ 70. 219. 269. 180.  80.  33.  10.   6.   1.   1.]
8,data/benchmark/db/9/m943/m943.off,943,2754.0,5000.0,0,"[-0.44601503 -0.49881268 -0.26444596  0.56327355 -0.49881268 -0.26444596
  0.56327355 -0.49881268  0.31893575 -0.44601503 -0.49881268  0.31893575
 -0.44601503  0.46781558 -0.26444596  0.56327355  0.46781558 -0.26444596
  0.56327355  0.46781558  0.31893575 -0.44601503  0.46781558  0.31893575]",table,0.029699475416221324,1.6908584109586626,1.7300654649734497,5480.550321545789,0.5691511631011963,1.15170113422888,2.8056715834990964,[ 84. 150. 152. 128. 106.  48.  37.  20.   9.   1.],[104. 171. 237. 197. 347. 457. 372. 224.  93.   1.],[717.  77.  76. 100. 108. 125. 104.  53.  16.   1.],[230. 157. 110.  75.  72.  45.  20.  21.   4.   1.],[ 25.  50.  75. 101. 114.  85.  54.  31.  15.   1.]
9,data/benchmark/db/9/m948/m948.off,948,2577.0,4998.0,0,"[-0.5543627  -0.6961184  -0.5659582   0.62584364 -0.6961184  -0.5659582
  0.62584364 -0.6961184   0.66569453 -0.5543627  -0.6961184   0.66569453
 -0.5543627   0.61456114 -0.5659582   0.62584364  0.61456114 -0.5659582
  0.62584364  0.61456114  0.66569453 -0.5543627   0.61456114  0.66569453]",bed,0.19008112216894824,4.372131445281328,1.1105512380599976,2313.13860241707,1.9052094221115112,1.6195877238694611,1.9883529247516585,[ 94. 104. 162. 120.  95.  57.  32.  14.   8.   1.],[ 23.  13.  19. 287. 296. 352. 197. 492. 381.   1.],[534.  60.  53.  68.  86. 218. 113. 120.  35.   1.],[285. 100.  65.  54.  56.  45.  53.  20.   9.   1.],[44. 74. 80. 59. 68. 66. 52. 43. 29.  1.]
